RepRapFirmware height map file v2, min error -0.322, max error 0.240, mean -0.001, deviation 0.158
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,190.00,20.00,190.00,-1.00,40.00,40.00,5,5
 -0.322, -0.238, -0.298, -0.225,  0.027
 -0.218, -0.083,  0.072, -0.008,  0.115
 -0.145, -0.015,  0.007,  0.050,  0.030
 -0.010,  0.047,  0.125,  0.240,  0.122
 -0.010,  0.138,  0.172,  0.182,  0.227
